CIA - The World Factbook -- Field Listing - Administrative divisions

| Country | Administrative divisions |
| **Qatar** | 10 municipalities (baladiyat, singular - baladiyah); Ad Dawhah, Al Ghuwayriyah, Al Jumayliyah, Al Khawr, Al Wakrah, Ar Rayyan, Jarayan al Batinah, Madinat ash Shamal, Umm Sa'id, Umm Salal |
| **Reunion** | none (overseas department of France); there are no first-order administrative divisions as defined by the US Government, but there are 4 arrondissements, 24 communes, and 47 cantons |
| **Romania** | 41 counties (judete, singular - judet) and 1 municipality* (municipiu); Alba, Arad, Arges, Bacau, Bihor, Bistrita-Nasaud, Botosani, Braila, Brasov, Bucuresti*, Buzau, Calarasi, Caras-Severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Gorj, Giurgiu, Harghita, Hunedoara, Ialomita, Iasi, Ilfov, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea |
| **Russia** | 49 oblasts (oblastey, singular - oblast), 21 republics* (respublik, singular - respublika), 10 autonomous okrugs**(avtonomnykh okrugov, singular - avtonomnyy okrug), 6 krays*** (krayev, singular - kray), 2 federal cities (singular - gorod)****, and 1 autonomous oblast*****(avtonomnaya oblast'); Adygeya (Maykop)*, Aginskiy Buryatskiy (Aginskoye)**, Altay (Gorno-Altaysk)*, Altayskiy (Barnaul)***, Amurskaya (Blagoveshchensk), Arkhangel'skaya, Astrakhanskaya, Bashkortostan (Ufa)*, Belgorodskaya, Bryanskaya, Buryatiya (Ulan-Ude)*, Chechnya (Groznyy)*, Chelyabinskaya, Chitinskaya, Chukotskiy (Anadyr')**, Chuvashiya (Cheboksary)*, Dagestan (Makhachkala)*, Evenkiyskiy (Tura)**, Ingushetiya (Nazran')*, Irkutskaya, Ivanovskaya, Kabardino-Balkariya (Nal'chik)*, Kaliningradskaya, Kalmykiya (Elista)*, Kaluzhskaya, Kamchatskaya (Petropavlovsk-Kamchatskiy), Karachayevo-Cherkesiya (Cherkessk)*, Kareliya (Petrozavodsk)*, Kemerovskaya, Khabarovskiy***, Khakasiya (Abakan)*, Khanty-Mansiyskiy (Khanty-Mansiysk)**, Kirovskaya, Komi (Syktyvkar)*, Koryakskiy (Palana)**, Kostromskaya, Krasnodarskiy***, Krasnoyarskiy***, Kurganskaya, Kurskaya, Leningradskaya, Lipetskaya, Magadanskaya, Mariy-El (Yoshkar-Ola)*, Mordoviya (Saransk)*, Moskovskaya, Moskva (Moscow)****, Murmanskaya, Nenetskiy (Nar'yan-Mar)**, Nizhegorodskaya, Novgorodskaya, Novosibirskaya, Omskaya, Orenburgskaya, Orlovskaya (Orel), Penzenskaya, Permskaya, Komi-Permyatskiy (Kudymkar)**, Primorskiy (Vladivostok)***, Pskovskaya, Rostovskaya, Ryazanskaya, Sakha (Yakutiya)*, Sakhalinskaya (Yuzhno-Sakhalinsk), Samarskaya, Sankt-Peterburg (Saint Petersburg)****, Saratovskaya, Severnaya Osetiya-Alaniya [North Ossetia] (Vladikavkaz)*, Smolenskaya, Stavropol'skiy***, Sverdlovskaya (Yekaterinburg), Tambovskaya, Tatarstan (Kazan')*, Taymyrskiy (Dudinka)**, Tomskaya, Tul'skaya, Tverskaya, Tyumenskaya, Tyva (Kyzyl)*, Udmurtiya (Izhevsk)*, Ul'yanovskaya, Ust'-Ordynskiy Buryatskiy (Ust'-Ordynskiy)**, Vladimirskaya, Volgogradskaya, Vologodskaya, Voronezhskaya, Yamalo-Nenetskiy (Salekhard)**, Yaroslavskaya, Yevreyskaya*****; note - when using a place name with an adjectival ending 'skaya' or 'skiy,' the word Oblast' or Avonomnyy Okrug or Kray should be added to the place name |
| | *note:* administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| **Rwanda** | 12 prefectures (in French - prefectures, singular - prefecture; in Kinyarwanda - plural - NA, singular - prefegitura); Butare, Byumba, Cyangugu, Gikongoro, Gisenyi, Gitarama, Kibungo, Kibuye, Kigali Rurale, Kigali-ville, Umutara, Ruhengeri |
| **Saint Helena** | 1 administrative area and 2 dependencies*; Ascension*, Saint Helena, Tristan da Cunha* |
| **Saint Kitts and Nevis** | 14 parishes; Christ Church Nichola Town, Saint Anne Sandy Point, Saint George Basseterre, Saint George Gingerland, Saint James Windward, Saint John Capesterre, Saint John Figtree, Saint Mary Cayon, Saint Paul Capesterre, Saint Paul Charlestown, Saint Peter Basseterre, Saint Thomas Lowland, Saint Thomas Middle Island, Trinity Palmetto Point |
| **Saint Lucia** | 11 quarters; Anse-la-Raye, Castries, Choiseul, Dauphin, Dennery, Gros-Islet, Laborie, Micoud, Praslin, Soufriere, Vieux-Fort |
| **Saint Pierre and Miquelon** | none (territorial collectivity of France); note - there are no first-order administrative divisions as defined by the US Government, but there are two communes - Saint Pierre, Miquelon at the second order |
| **Saint Vincent and the Grenadines** | 6 parishes; Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick |
| **Samoa** | 11 districts; A'ana, Aiga-i-le-Tai, Atua, Fa'asaleleaga, Gaga'emauga, Gagaifomauga, Palauli, Satupa'itea, Tuamasaga, Va'a-o-Fonoti, Vaisigano |
| **San Marino** | 9 municipalities (castelli, singular - castello); Acquaviva, Borgo Maggiore, Chiesanuova, Domagnano, Faetano, Fiorentino, Monte Giardino, San Marino, Serravalle |
| **Sao Tome and Principe** | 2 provinces; Principe, Sao Tome |
| | *note:* Principe has had self-government since 29 April 1995 |
| **Saudi Arabia** | 13 provinces (mintaqat, singular - mintaqah); Al Bahah, Al Hudud ash Shamaliyah, Al Jawf, Al Madinah, Al Qasim, Ar Riyad, Ash Sharqiyah (Eastern Province), 'Asir, Ha'il, Jizan, Makkah, Najran, Tabuk |
| **Senegal** | 10 regions (regions, singular - region); Dakar, Diourbel, Fatick, Kaolack, Kolda, Louga, Saint-Louis, Tambacounda, Thies, Ziguinchor |
| | *note:* there may be another region called Matam |
| **Serbia and Montenegro** | 2 republics (republike, singular - republika); and 2 nominally autonomous provinces* (autonomn pokrajine, singular - autonomna pokrajina); Kosovo*, Montenegro, Serbia, Vojvodina* |
| **Seychelles** | 23 administrative districts; Anse aux Pins, Anse Boileau, Anse Etoile, Anse Louis, Anse Royale, Baie Lazare, Baie Sainte Anne, Beau Vallon, Bel Air, Bel Ombre, Cascade, Glacis, Grand' Anse (on Mahe), Grand' Anse (on Praslin), La Digue, La Riviere Anglaise, Mont Buxton, Mont Fleuri, Plaisance, Pointe La Rue, Port Glaud, Saint Louis, Takamaka |
| **Sierra Leone** | 3 provinces and 1 area*; Eastern, Northern, Southern, Western* |
| **Singapore** | none |
| **Slovakia** | 8 regions (kraje, singular - kraj); Banskobystricky, Bratislavsky, Kosicky, Nitriansky, Presovsky, Trenciansky, Trnavsky, Zilinsky |
| **Slovenia** | 182 municipalities (obcine, singular - obcina) and 11 urban municipalities* (mestne obcine , singular - mestna obcina ) Ajdovscina, Beltinci, Benedikt, Bistrica ob Sotli, Bled, Bloke, Bohinj, Borovnica, Bovec, Braslovce, Brda, Brezice, Brezovica, Cankova, Celje*, Cerklje na Gorenjskem, Cerknica, Cerkno, Cerkvenjak, Crensovci, Crna na Koroskem, Crnomelj, Destrnik, Divaca, Dobje, Dobrepolje, Dobrna, Dobrova-Horjul-Polhov Gradec, Dobrovnik-Dobronak, Dolenjske Toplice, Dol pri Ljubljani, Domzale, Dornava, Dravograd, Duplek, Gorenja Vas-Poljane, Gorisnica, Gornja Radgona, Gornji Grad, Gornji Petrovci, Grad, Grosuplje, Hajdina, Hoce-Slivnica, Hodos-Hodos, Horjul, Hrastnik, Hrpelje-Kozina, Idrija, Ig, Ilirska Bistrica, Ivancna Gorica, Izola-Isola, Jesenice, Jezersko, Jursinci, Kamnik, Kanal, Kidricevo, Kobarid, Kobilje, Kocevje, Komen, Komenda, Koper-Capodistria*, Kostel, Kozje, Kranj*, Kranjska Gora, Krizevci, Krsko, Kungota, Kuzma, Lasko, Lenart, Lendava-Lendva, Litija, Ljubljana*, Ljubno, Ljutomer, Logatec, Loska Dolina, Loski Potok, Lovrenc na Pohorju, Luce, Lukovica, Majsperk, Maribor*, Markovci, Medvode, Menges, Metlika, Mezica, Miklavz na Dravskem Polju, Miren-Kostanjevica, Mirna Pec, Mislinja, Moravce, Moravske Toplice, Mozirje, Murska Sobota*, Muta, Naklo, Nazarje, Nova Gorica*, Novo Mesto*, Odranci, Oplotnica, Ormoz, Osilnica, Pesnica, Piran-Pirano, Pivka, Podcetrtek, Podlehnik, Podvelka, Polzela, Postojna, Prebold, Preddvor, Prevalje, Ptuj*, Puconci, Race-Fram, Radece, Radenci, Radlje ob Dravi, Radovljica, Ravne na Koroskem, Razkrizje, Ribnica, Ribnica na Pohorju, Rogasovci, Rogaska Slatina, Rogatec, Ruse, Salovci, Selnica ob Dravi, Semic, Sempeter-Vrtojba, Sencur, Sentilj, Sentjernej, Sentjur pri Celju, Sevnica, Sezana, Skocjan, Skofja Loka, Skofljica, Slovenj Gradec*, Slovenska Bistrica, Slovenske Konjice, Smarje pri Jelsah, Smartno ob Paki, Smartno pri Litiji, Sodrazica, Solcava, Sostanj, Starse, Store, Sveta Ana, Sveti Andraz v Slovenskih Goricah, Sveti Jurij, Tabor, Tisina, Tolmin, Trbovlje, Trebnje, Trnovska Vas, Trzic, Trzin, Turnisce, Velenje*, Velika Polana, Velike Lasce, Verzej, Videm, Vipava, Vitanje, Vodice, Vojnik, Vransko, Vrhnika, Vuzenica, Zagorje ob Savi, Zalec, Zavrc, Zelezniki, Zetale, Ziri, Zirovnica, Zuzemberk, Zrece |
| | *note:* there may be 45 more municipalities |
| **Solomon Islands** | 9 provinces and 1 capital territory*; Central, Choiseul (Lauru), Guadalcanal, Honiara*, Isabel, Makira, Malaita, Rennell/Bellona, Temotu, Western |
| **Somalia** | 18 regions (plural - NA, singular - gobolka); Awdal, Bakool, Banaadir, Bari, Bay, Galguduud, Gedo, Hiiraan, Jubbada Dhexe, Jubbada Hoose, Mudug, Nugaal, Sanaag, Shabeellaha Dhexe, Shabeellaha Hoose, Sool, Togdheer, Woqooyi Galbeed |
| **South Africa** | 9 provinces; Eastern Cape, Free State, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North-West, Northern Cape, Western Cape |
| **Spain** | 19 autonomous communities (comunidades autonomas, singular - comunidad autonoma); Andalucia, Aragon, Asturias, Baleares (Balearic Islands), Ceuta, Canarias (Canary Islands), Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Communidad Valencian, Extremadura, Galicia, La Rioja, Madrid, Melilla, Murcia, Navarra, Pais Vasco (Basque Country) |
| | *note:* three small Spanish possessions are located off the coast of Morocco: Islas Chafarinas, Penon de Alhucemas, and Penon de Velez de la Gomera; Ceuta and Melilla gained limited autonomous status in 1994 |
| **Sri Lanka** | 8 provinces; Central, North Central, North Eastern, North Western, Sabaragamuwa, Southern, Uva, Western; note - North Eastern province may have been divided in two - Northern and Eastern |
| **Sudan** | 26 states (wilayat, singular - wilayah); A'ali an Nil, Al Bahr al Ahmar, Al Buhayrat, Al Jazirah, Al Khartum, Al Qadarif, Al Wahdah, An Nil al Abyad, An Nil al Azraq, Ash Shamaliyah, Bahr al Jabal, Gharb al Istiwa'iyah, Gharb Bahr al Ghazal, Gharb Darfur, Gharb Kurdufan, Janub Darfur, Janub Kurdufan, Junqali, Kassala, Nahr an Nil, Shamal Bahr al Ghazal, Shamal Darfur, Shamal Kurdufan, Sharq al Istiwa'iyah, Sinnar, Warab |
| **Suriname** | 10 districts (distrikten, singular - distrikt); Brokopondo, Commewijne, Coronie, Marowijne, Nickerie, Para, Paramaribo, Saramacca, Sipaliwini, Wanica |
| **Swaziland** | 4 districts; Hhohho, Lubombo, Manzini, Shiselweni |
| **Sweden** | 21 counties (lan, singular and plural); Blekinge, Dalarnas, Gavleborgs, Gotlands, Hallands, Jamtlands, Jonkopings, Kalmar, Kronobergs, Norrbottens, Orebro, Ostergotlands, Skane, Sodermanlands, Stockholms, Uppsala, Varmlands, Vasterbottens, Vasternorrlands, Vastmanlands, Vastra Gotalands |
| **Switzerland** | 26 cantons (cantons, singular - canton in French; cantoni, singular - cantone in Italian; kantone, singular - kanton in German); Aargau, Appenzell Ausser-Rhoden, Appenzell Inner-Rhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich |
| **Syria** | 14 provinces (muhafazat, singular - muhafazah); Al Hasakah, Al Ladhiqiyah, Al Qunaytirah, Ar Raqqah, As Suwayda', Dar'a, Dayr az Zawr, Dimashq, Halab, Hamah, Hims, Idlib, Rif Dimashq, Tartus |
| **Taiwan** | the central administrative divisions include the provinces of Fu-chien (some 20 offshore islands of Fujian Province including Quemoy and Matsu) and Taiwan (the island of Taiwan and the Pescadores islands); Taiwan is further subdivided into 16 counties (hsien, singular and plural), 5 municipalities* (shih, singular and plural), and 2 special municipalities** (chuan-shih, singular and plural); Chang-hua, Chia-i, Chia-i*, Chi-lung*, Hsin-chu, Hsin-chu*, Hua-lien, I-lan, Kao-hsiung, Kao-hsiung**, Miao-li, Nan-t'ou, P'eng-hu, P'ing-tung, T'ai-chung, T'ai-chung*, T'ai-nan, T'ai-nan*, T'ai-pei, T'ai-pei**, T'ai-tung, T'ao-yuan, and Yun-lin; the provincial capital is at Chung-hsing-hsin-ts'un |
| | *note:* Taiwan uses the Wade-Giles system for romanization |
| **Tajikistan** | 2 provinces (viloyatho, singular - viloyat) and 1 autonomous province* (viloyati mukhtor); Viloyati Mukhtori Kuhistoni Badakhshon* (Khorugh), Viloyati Khatlon (Qurghonteppa), Viloyati Sughd (Khujand) |
| | *note:* the administrative center name follows in parentheses |
| **Tanzania** | 25 regions; Arusha, Dar es Salaam, Dodoma, Iringa, Kagera, Kigoma, Kilimanjaro, Lindi, Mara, Mbeya, Morogoro, Mtwara, Mwanza, Pemba North, Pemba South, Pwani, Rukwa, Ruvuma, Shinyanga, Singida, Tabora, Tanga, Zanzibar Central/South, Zanzibar North, Zanzibar Urban/West |
| **Thailand** | 76 provinces (changwat, singular and plural); Amnat Charoen, Ang Thong, Buriram, Chachoengsao, Chai Nat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chon Buri, Chumphon, Kalasin, Kamphaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Krung Thep Mahanakhon (Bangkok), Lampang, Lamphun, Loei, Lop Buri, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan, Narathiwat, Nong Bua Lamphu, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayutthaya, Phrae, Phuket, Prachin Buri, Prachuap Khiri Khan, Ranong, Ratchaburi, Rayong, Roi Et, Sa Kaeo, Sakon Nakhon, Samut Prakan, Samut Sakhon, Samut Songkhram, Sara Buri, Satun, Sing Buri, Sisaket, Songkhla, Sukhothai, Suphan Buri, Surat Thani, Surin, Tak, Trang, Trat, Ubon Ratchathani, Udon Thani, Uthai Thani, Uttaradit, Yala, Yasothon |
| **Togo** | 5 regions (regions, singular - region); De La Kara, Des Plateaux, Des Savanes, Centrale, Maritime |
| **Tokelau** | none (territory of New Zealand) |
| **Tonga** | 3 island groups; Ha'apai, Tongatapu, Vava'u |
| **Trinidad and Tobago** | 8 counties, 3 municipalities*, and 1 ward**; Arima*, Caroni, Mayaro, Nariva, Port-of-Spain*, Saint Andrew, Saint David, Saint George, Saint Patrick, San Fernando*, Tobago**, Victoria |
| **Tunisia** | 24 governorates; Ariana (Aryanah), Beja (Bajah), Ben Arous (Bin 'Arus), Bizerte (Banzart), Gabes (Qabis), Gafsa (Qafsah), Jendouba (Jundubah), Kairouan (Al Qayrawan), Kasserine (Al Qasrayn), Kebili (Qibili), Kef (Al Kaf), Mahdia (Al Mahdiyah), Manouba (Manubah), Medenine (Madanin), Monastir (Al Munastir), Nabeul (Nabul), Sfax (Safaqis), Sidi Bou Zid (Sidi Bu Zayd), Siliana (Silyanah), Sousse (Susah), Tataouine (Tatawin), Tozeur (Tawzar), Tunis, Zaghouan (Zaghwan) |
| **Turkey** | 81 provinces (iller, singular - il); Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Duzce, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Igdir, Isparta, Istanbul, Izmir, Kahramanmaras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mersin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak |
| **Turkmenistan** | *5 provinces (welayatlar, singular - welayat):* Ahal Welayaty (Ashgabat), Balkan Welayaty (Balkanabat), Dashoguz Welayaty, Lebap Welayaty (Turkmenabat), Mary Welayaty |
| | *note:* administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| **Turks and Caicos Islands** | none (overseas territory of the UK) |
| **Tuvalu** | none |
| **Uganda** | 56 districts; Adjumani, Apac, Arua, Bugiri, Bundibugyo, Bushenyi, Busia, Gulu, Hoima, Iganga, Jinja, Kabale, Kabarole, Kaberamaido, Kalangala, Kampala, Kamuli, Kamwenge, Kanungu, Kapchorwa, Kasese, Katakwi, Kayunga, Kibale, Kiboga, Kisoro, Kitgum, Kotido, Kumi, Kyenjojo, Lira, Luwero, Masaka, Masindi, Mayuge, Mbale, Mbarara, Moroto, Moyo, Mpigi, Mubende, Mukono, Nakapiripirit, Nakasongola, Nebbi, Ntungamo, Pader, Pallisa, Rakai, Rukungiri, Sembabule, Sironko, Soroti, Tororo, Wakiso, Yumbe |
| **Ukraine** | 24 oblasti (singular - oblast'), 1 autonomous republic* (avtomnaya respublika), and 2 municipalities (mista, singular - misto) with oblast status**; Cherkas'ka (Cherkasy), Chernihivs'ka (Chernihiv), Chernivets'ka (Chernivtsi), Dnipropetrovs'ka (Dnipropetrovs'k), Donets'ka (Donets'k), Ivano-Frankivs'ka (Ivano-Frankivs'k), Kharkivs'ka (Kharkiv), Khersons'ka (Kherson), Khmel'nyts'ka (Khmel'nyts'kyy), Kirovohrads'ka (Kirovohrad), Kyyiv**, Kyyivs'ka (Kiev), Luhans'ka (Luhans'k), L'vivs'ka (L'viv), Mykolayivs'ka (Mykolayiv), Odes'ka (Odesa), Poltavs'ka (Poltava), Avtonomna Respublika Krym* (Simferopol'), Rivnens'ka (Rivne), Sevastopol'**, Sums'ka (Sumy), Ternopil's'ka (Ternopil'), Vinnyts'ka (Vinnytsya), Volyns'ka (Luts'k), Zakarpats'ka (Uzhhorod), Zaporiz'ka (Zaporizhzhya), Zhytomyrs'ka (Zhytomyr); note - when using a place name with an adjectival ending "s'ka" or "z'ka," the word Oblast' should be added to the place name |
| | *note:* oblasts have the administrative center name following in parentheses |
| **United Arab Emirates** | 7 emirates (imarat, singular - imarah); Abu Zaby (Abu Dhabi), 'Ajman, Al Fujayrah, Ash Shariqah (Sharjah), Dubayy (Dubai), Ra's al Khaymah, Umm al Qaywayn |
| **United Kingdom** | England - 47 boroughs, 36 counties*, 29 London boroughs**, 12 cities and boroughs***, 10 districts****, 12 cities*****, 3 royal boroughs******; Barking and Dagenham**, Barnet**, Barnsley, Bath and North East Somerset****, Bedfordshire*, Bexley**, Birmingham***, Blackburn with Darwen, Blackpool, Bolton, Bournemouth, Bracknell Forest, Bradford***, Brent**, Brighton and Hove, City of Bristol*****, Bromley**, Buckinghamshire*, Bury, Calderdale, Cambridgeshire*, Camden**, Cheshire*, Cornwall*, Coventry***, Croydon**, Cumbria*, Darlington, Derby*****, Derbyshire*, Devon*, Doncaster, Dorset*, Dudley, Durham*, Ealing**, East Riding of Yorkshire****, East Sussex*, Enfield**, Essex*, Gateshead, Gloucestershire*, Greenwich**, Hackney**, Halton, Hammersmith and Fulham**, Hampshire*, Haringey**, Harrow**, Hartlepool, Havering**, Herefordshire*, Hertfordshire*, Hillingdon**, Hounslow**, Isle of Wight*, Islington**, Kensington and Chelsea******, Kent*, City of Kingston upon Hull*****, Kingston upon Thames******, Kirklees, Knowsley, Lambeth**, Lancashire*, Leeds***, Leicester*****, Leicestershire*, Lewisham**, Lincolnshire*, Liverpool***, City of London*****, Luton, Manchester***, Medway, Merton**, Middlesbrough, Milton Keynes, Newcastle upon Tyne***, Newham**, Norfolk*, Northamptonshire*, North East Lincolnshire****, North Lincolnshire****, North Somerset****, North Tyneside, Northumberland*, North Yorkshire*, Nottingham*****, Nottinghamshire*, Oldham, Oxfordshire*, Peterborough*****, Plymouth*****, Poole, Portsmouth*****, Reading, Redbridge**, Redcar and Cleveland, Richmond upon Thames**, Rochdale, Rotherham, Rutland****, Salford***, Shropshire*, Sandwell, Sefton, Sheffield***, Slough, Solihull, Somerset*, Southampton*****, Southend-on-Sea, South Gloucestershire****, South Tyneside, Southwark**, Staffordshire*, St. Helens, Stockport, Stockton-on-Tees, Stoke-on-Trent*****, Suffolk*, Sunderland***, Surrey*, Sutton**, Swindon, Tameside, Telford and Wrekin****, Thurrock, Torbay, Tower Hamlets**, Trafford, Wakefield***, Walsall, Waltham Forest**, Wandsworth**, Warrington, Warwickshire*, West Berkshire****, Westminster***, West Sussex*, Wigan, Wiltshire*, Windsor and Maidenhead******, Wirral, Wokingham****, Wolverhampton, Worcestershire*, York*****; Northern Ireland - 24 districts, 2 cities*, 6 counties**; Antrim, County Antrim**, Ards, Armagh, County Armagh**, Ballymena, Ballymoney, Banbridge, Belfast*, Carrickfergus, Castlereagh, Coleraine, Cookstown, Craigavon, Down, County Down**, Dungannon, Fermanagh, County Fermanagh**, Larne, Limavady, Lisburn, County Londonderry**, Derry*, Magherafelt, Moyle, Newry and Mourne, Newtownabbey, North Down, Omagh, Strabane, County Tyrone**; Scotland - 32 council areas; Aberdeen City, Aberdeenshire, Angus, Argyll and Bute, The Scottish Borders, Clackmannanshire, Dumfries and Galloway, Dundee City, East Ayrshire, East Dunbartonshire, East Lothian, East Renfrewshire, City of Edinburgh, Falkirk, Fife, Glasgow City, Highland, Inverclyde, Midlothian, Moray, North Ayrshire, North Lanarkshire, Orkney Islands, Perth and Kinross, Renfrewshire, Shetland Islands, South Ayrshire, South Lanarkshire, Stirling, West Dunbartonshire, Eilean Siar (Western Isles), West Lothian; Wales - 11 county boroughs, 9 counties*, 2 cities and counties**; Isle of Anglesey*, Blaenau Gwent, Bridgend, Caerphilly, Cardiff**, Ceredigion*, Carmarthenshire*, Conwy, Denbighshire*, Flintshire*, Gwynedd, Merthyr Tydfil, Monmouthshire*, Neath Port Talbot, Newport, Pembrokeshire*, Powys*, Rhondda Cynon Taff, Swansea**, Torfaen, The Vale of Glamorgan*, Wrexham |
| **United States** | 50 states and 1 district*; Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia*, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming |
| **Uruguay** | 19 departments (departamentos, singular - departamento); Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta y Tres |
| **Uzbekistan** | 12 provinces (viloyatlar, singular - viloyat), 1 autonomous republic* (respublika), and 1 city** (shahar); Andijon Viloyati, Buxoro Viloyati, Farg'ona Viloyati, Jizzax Viloyati, Namangan Viloyati, Navoiy Viloyati, Qashqadaryo Viloyati (Qarshi), Qaraqalpog'iston Respublikasi* (Nukus), Samarqand Viloyati, Sirdaryo Viloyati (Guliston), Surxondaryo Viloyati (Termiz), Toshkent Shahri**, Toshkent Viloyati, Xorazm Viloyati (Urganch) |
| | *note:* administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| **Vanuatu** | 6 provinces; Malampa, Penama, Sanma, Shefa, Tafea, Torba |
| **Venezuela** | 23 states (estados, singular - estado), 1 federal district* (distrito federal), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales**, Distrito Federal*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| | *note:* the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| **Vietnam** | 58 provinces (tinh, singular and plural), and 3 municipalities* (thu do, singular and plural); An Giang, Bac Giang, Bac Kan, Bac Lieu, Bac Ninh, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Can Tho, Cao Bang, Dac Lak, Da Nang, Dong Nai, Dong Thap, Gia Lai, Ha Giang, Hai Duong, Hai Phong*, Ha Nam, Ha Noi*, Ha Tay, Ha Tinh, Hoa Binh, Ho Chi Minh*, Hung Yen, Khanh Hoa, Kien Giang, Kon Tum, Lai Chau, Lam Dong, Lang Son, Lao Cai, Long An, Nam Dinh, Nghe An, Ninh Binh, Ninh Thuan, Phu Tho, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Ninh, Quang Tri, Soc Trang, Son La, Tay Ninh, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien-Hue, Tien Giang, Tra Vinh, Tuyen Quang, Vinh Long, Vinh Phuc, Yen Bai |
| **Virgin Islands** | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are three islands at the second order; Saint Croix, Saint John, Saint Thomas |
| **Wallis and Futuna** | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are three kingdoms at the second order named Alo, Sigave, Wallis |
| **Western Sahara** | none (under de facto control of Morocco) |
| **World** | 268 nations, dependent areas, other, and miscellaneous entries |
| **Yemen** | 19 governorates (muhafazat, singular - muhafazah); Abyan, 'Adan, Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, 'Amran, Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Sa'dah, San'a', Shabwah, Ta'izz |
| | *note:* there may be one additional governorate of the capital city of Sanaa |
| **Zambia** | 9 provinces; Central, Copperbelt, Eastern, Luapula, Lusaka, Northern, North-Western, Southern, Western |
| **Zimbabwe** | 8 provinces and 2 cities* with provincial status; Bulawayo*, Harare*, Manicaland, Mashonaland Central, Mashonaland East, Mashonaland West, Masvingo, Matabeleland North, Matabeleland South, Midlands |

This page was last updated on 18 December, 2003
 
