Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| | *election results:* seats won - oppositionists and independents, including populists, Islamists, and liberals 26, pro-government loyalists 24; composition for elected members only - men 49, women 1, percent of women 1.5% |
| **Kyrgyzstan** | *description:* unicameral Supreme Council or Jogorku Kenesh (120 seats; parties directly elected in a single nationwide constituency by closed party-list proportional representation vote; members selected from party lists to serve 5-year terms) |
| | *elections:* last held on 4 October 2015 (next to be held in 2020) |
| | *election results:* percent of vote by party - SDPK 27.4%, Respublika-Ata-Jurt 20.1%, Kyrgyzstan Party 12.9%, Onuguu-Progress 9.3%, Bir Bol 8.5%, Ata-Meken 7.7%, other 14.1%; seats by party - SDPK 38, Respublika-Ata-Jurt 28, Kyrgyzstan Party 18, Onuguu-Progress 13, Bir Bol 12, Ata-Meken 11; composition - men 97, women 23, percent of women 19.2% |
| **Laos** | *description:* unicameral National Assembly or Sapha Heng Xat (149 seats; members directly elected in multi-seat constituencies by simple majority vote from candidate lists provided by the Lao People's Revolutionary Party; members serve 5-year terms) |
| | *elections:* last held on 20 March 2016 (next to be held in 2021) |
| | *election results:* percent of vote by party - NA; seats by party - LPRP 144, independent 5 |
| **Latvia** | *description:* unicameral Parliament or Saeima (100 seats; members directly elected in multi-seat constituencies by party list proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 6 October 2018 (next to be held in October 2022) |
| | *election results:* percent of vote by party - SDPS 19.8%, KPV LV 14.3%, JKP 13.6%, AP! 12%, NA 11%, ZZS 9.9%, V 6.7%, other 12.7%; seats by party - SDPS 23, KPV LV 16, JKP 16, AP! 13, NA 13, ZZS 11, V 8; composition - men 69, women 31, percent of women 31% |
| **Lebanon** | *description:* unicameral National Assembly or Majlis al-Nuwab in Arabic or Assemblee Nationale in French (128 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms); in 2017, the Assembly changed the electoral system from majoritarian to proporional representation |
| | *elections:* last held on on 6 May 2018 (next to be held in 2022) |
| | *election results:* percent of vote by coalition - NA; seats by coalition - Amal-Hizballah 35, FPM 24, Future Movement 19, LF 13, PSP 9, Azm Movement 4, other 11, independent 13; composition - men 124, women 4, percent of women 3.1% |
| | *note:* Lebanonâ€™s constitution states the National Assembly cannot conduct regular business until it elects a president when the position is vacant |
| **Lesotho** | *description:* bicameral Parliament consists of: |
| | Senate (33 seats; 22 principal chiefs and 11 other senators nominated by the king with the advice of the Council of State, a 13-member body of key government and non-government officials; members serve 5-year terms) |
| | National Assembly (120 seats; 80 members directly elected in single-seat constituencies by simple majority vote and 40 elected through proportional representation; members serve 5-year terms) |
| | *elections:* |
| | National Assembly - last held on 3 June 2017 (next to be held in 2022) |
| | *election results:* |
| | National Assembly - percent of votes by party - ABC 40.5%, DC 25.8%, LCD 9%, AD 7.3%, MEC 5.1%, BNP 4.1, PFD 2.3%, other 5.9%; seats by party - ABC 48, DC 30, LCD 11, AD 9, MEC 6, BNP 5, PFD 3, other 5, vacant 3 |
| **Liberia** | *description:* bicameral National Assembly consists of: |
| | The Liberian Senate (30 seats; members directly elected in 15 2-seat districts by simple majority vote to serve 9-year staggered terms; each district elects 1 senator and elects the second senator 3 years later, followed by a 6-year hiatus, after which the first Senate seat is up for election) |
| | House of Representatives (73 seats; members directly elected in single-seat districts by simple majority vote to serve 6-year terms; eligible for a second term) |
| | *elections:* |
| | Senate - last held on 20 December 2014 (originally scheduled for 14 October 2014 but postponed due to Ebola-virus epidemic; next to be held in October 2020) |
| | House of Representatives - last held on 10 October 2017 (next to be held in October 2023) |
| | *election results:* |
| | Senate - percent of vote by party - CDC 29.8%, UP 10.3%, LP 11.5%, NPP 6.1%, PUP 4.9%, ANC 4.2%, NDC 1.3%, other 7.6%, independent 24.3%; seats by party - UP 4, CDC 2, LP 2, ANC 1, NDC 1, NPP 1, PUP 1, independent 3 |
| | House of Representatives - percent of vote by party/coalition - Coalition for Democratic Change 15.6%, UP 14%, LP 8.7%, ANC 6.1%, PUP 5.9%, ALP 5.1%, MDR 3.4%, other 41.2%; seats by party/coalition - Coalition for Democratic Change 21, UP 19, PUP 5, LP 3, ALP 3, MDR 2, independent 12, other 6, vacant 2 |
| **Libya** | *description:* unicameral House of Representatives (Majlis Al Nuwab) or HoR (200 seats including 32 reserved for women; members directly elected by majority vote; member term NA); note - the High Council of State serves as an advisory group for the HoR |
| | *elections:* last held on 25 June 2014 ( parliamentary election to be held pending election-related legislation); note - the Libyan Supreme Court in November 2014 declared the HoR election unconstitutional, but the HoR and the international community rejected the ruling |
| | *election results:* percent of vote by party - NA; seats by party - NA; composition - men 158, women 30, percent of women 16%; note - only 188 of the 200 seats were filled in the June 2014Â election because of boycotts and lack of security at some polling stations; some elected members of the HoR also boycotted the election |
| **Liechtenstein** | *description:* unicameral Parliament or Landtag (25 seats; members directly elected in 2 multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 5 February 2017 (next to be held in February 2021) |
| | *election results:* percent of vote by party - FBP 35.2%, VU 33.7%, DU 18.4% FL 12.6%; seats by party - FBP 9, VU 8, DU 5, FL 3; composition - men 22, women 3, percent of women 12% |
| **Lithuania** | *description:* unicameral Parliament or Seimas (141 seats; 71 members directly elected in single-seat constituencies by absolute majority vote and 70 directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 9 and 23 October 2016 (next to be held in October 2020) |
| | *election results:* percent of vote by party - TS-LKD 22.6%, LVLS 22.5%, LSDP 15%, LS 9.5%, LCP-LPP 6.3%, LLRA 5.7%, TT 5.6%, DP 4.9%, LZP 2%, Lithuanian List 1.8%, other 4.1%; seats by party - LVLS 54, TS-LKD 31, LSDP 17, LS 14, LLRA 8, TT 8, DP 2, LCP-LPP 1, LZP 1, Lithuanian List 1, independent 4; composition - men 111, women 30, percent of women 21.3% |
| **Luxembourg** | *description:* unicameral Chamber of Deputies or Chambre des Deputes (60 seats; members directly elected in multi-seat constituencies by party-list proportional representation vote; members serve 5-year terms); note - a 21-member Council of State appointed by the Grand Duke on the advice of the prime minister serves as an advisory body to the Chamber of Deputies |
| | *elections:* last held onÂ 14 October 2018 (next to be held by October 2023) |
| | *election results:* percent of vote by party - CSV 28.3%, LSAP 17.6%, DP 16.9%, Green Party 15.1%, ADR 8.3%, Pirate Party 6.4%, The Left 5.5%, other 1.9%; seats by party - CSV 21, DP 12, LSAP 10, Green Party 9, ADR 4, Pirate Party 2, The Left 2; composition - men 46, women 14, percent of women 23.3% |
| **Macau** | *description:* unicameral Legislative Assembly or Regiao Administrativa Especial de Macau (33 seats; 14 members directly elected by proportional representation vote, 12 indirectly elected by an electoral college of professional and commercial interest groups, and 7 appointed by the chief executive; members serve 4-year terms) |
| | *elections:* last held on 17 September 2017 (next to be held in 2021) |
| | *election results:* percent of vote - UMG 10%, UPD 9.7%, ACUM 8.6%, NE 8.3%, UPP 7.2, ANMD 6.6%, NUDM 6.1%, ACDM 5.9%, APMD 5.8%, Civic Watch 5.6%, ABL 5.5%, ANPM 5.3%, other 15.4%; seats by political group - UMG 2, UPD 2, ABL 1, ACDM 1, ACUM 1, ANMD 1, ANPM 1, APMD 1, Civic Watch 1, NE 1, NUDM 1, UPP 1; 12 seats filled by professional and business groups; 7 members appointed by the chief executive; composition - men 27, women 6, percent of women 18.6% |
| **Macedonia** | *description:* unicameral Assembly or Sobranie (between 120 and 140 seats; currently 120 members directly elected in multi-seat constituencies by closed-list proportional representation vote; possibility of 3 directly elected in diaspora constituencies by simple majority vote provided there is sufficient voter turnout; members serve 4-year terms) |
| | *elections:* last held on 11 December 2016, with a second round held in one polling station on 25 December 2016 (next to be held in 2020) |
| | *election results:* percent of vote by party/coalition - VMRO-DPMNE 38.1%, SDSM coalition 36.7%, BDI 7.3%, Besa Movement 4.9%, AfA 3.1%, PDSh 2.7%, other 7.2%; seats by party - VMRO-DPMNE 51, SDSM coalition 49, BDI 10, Besa Movement 5, AfA 3, PDSh 2; note - the 3 seats for diaspora went unfilled because none of the candidates won the 6,500 minimum vote threshold |
| | *note:* as of June 2018, seats by party/coalition - ruling coalition 68 (SDSM coalition 49, BDI 10, Besa Movement 3, PDSh 2, other 5), opposition coalition 52 (VMRO-DPMNE coalition 48, Besa Movement 2, AfA 2); composition - men 75, women 45, percent of women 37.5% |
| **Madagascar** | *description:* bicameral National Assembly or Assemblee Nationale consists of: |
| | Senate or Antenimieran-Doholona (dissolved following the 2009 coup and reestablished in December 2015) (63 seats; 42 members indirectly elected by an electoral college of municipal, communal, regional, and provincial leaders and 21 appointed by the president of the republic; members serve 6-year terms) |
| | National Assembly or Antenimierampirenena (151 seats; 87 members directly elected in single-seat constituencies by simple majority vote and 64 directly elected in multi-seat constituencies by closed-list proportional representation vote; members serve 4-year terms) |
| | *elections:* |
| | Senate - last held 29 December 2015 (next to be held in 2021) |
| | National Assembly - last held on 20 December 2013 (next to be held in 2019) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - TIM 3, MAPAR 2, LEADER-Fanilo 1, independent 2, appointed by the president 21 |
| | National Assembly - percent of vote by party - MAPAR 17.3%, MR 10.8%, VPM MMM 8.2%, PHI 3.8%, AMHM 3.5%, LEADER-Fanilo 2.8%, FFF 1.6%, AIM 1.%, SFN 0.3%, independent and other 50.6%; seats by party - MAPAR 49, MR 20, VPM MMM 13, PHI 5, AMHM 2, LEADER-Fanilo 5, FFF 2, AIM 2, SFN 2, other 22, independent 25, seats with delayed elections 4 |
| **Malawi** | *description:* unicameral National Assembly (193 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* last held on 20-22 May 2014 (next to be held on 21 May 2019) |
| | *election results:* percent of vote by party - DPP 22%, MCP 17.4%, PP 18.5%, UDF 9.6%, other 2.8%, independent 29.7%; seats by party - DPP 51, MCP 48, PP 26, UDF 14, other 2, independent 52 |
| **Malaysia** | *description:* bicameral Parliament or Parlimen consists of: |
| | Senate or Dewan Negara (70 seats; 44 members appointed by the king and 26 indirectly elected by 13 state legislatures; members serve 3-year terms) |
| | House of Representatives or Dewan Rakyat (222 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* Â  |
| | Senate - appointed |
| | House of Representatives - last held on 9 May 2018 (next to be held in 2023) |
| | *election results:* |
| | Senate - appointed; composition - men 54, women 14, percent of women 20.6% |
| | House of Representatives - percent of vote by party/coalition - PH 45.6%, BN 33.8%, PAS 16.9%, WARISAN 2.3%, other 1.4%; seats by party/coalition - PH 113, BN 79, PAS 18, WARISAN 8, STAR 1, independent 3; composition - men 199, women 23, percent of women 10.4%; note - total Parliament percent of women 12.8% |
| **Maldives** | *description:* unicameral Parliament or People's Majlis (85 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* last held on 22 March 2014 (next to be held in 2019) |
| | *election results:* percent of vote - MDP 40.8%, PPM 27.7%, JP 13.6%, MDA 4%, AP 2.7% other 0.3%, independent 10.9%; seats by party - PPM 33, MDP 26, JP 15, MDA 5, AP 1, independent 5; composition - men 80, women 5, percent of women 5.9% |
| **Mali** | *description:* unicameral National Assembly or Assemblee Nationale (147 seats; members directly elected in single and multi-seat constituencies by absolute majority vote in 2 rounds if needed; 13 seats reserved for citizens living abroad; members serve 5-year terms) |
| | *elections:* last held on 24 November and 15 December 2013 (next to be held on 25 November 2018) |
| | *election results:* percent of vote by party - RPM 29.4%, URD 22.6%, ADEMA 11.5, other 36.5%; seats by party - RPM 66, URD 17, ADEMA 16, FARE 6, CODEM 5, SADI 5, CNID 4, other 24, independent 4 |
| **Malta** | *description:* unicameral House of Representatives or Il-Kamra Tad-Deputati, a component of the Parliament of Malta (normally 65 seats but can include at-large members; members directly elected in 5 multi-seat constituencies by proportional representation vote; members serve 5-year terms); note - the parliament elected in 2013 had 69 seats; an additional two seats were added in 2016 by the Constitutional Court to correct for mistakes made in the 2013 vote-counting process |
| | *elections:* last held on 3 June 2017 (next to be held in 2022); note - Prime Minister MUSCAT called for early elections amid corruption allegations |
| | *election results:* percent of vote by party - PL 55%, PN 43.7%, other 1.3%; seats by party - PL 37 PN 30; note - PN was awarded two additional seats for a total of 30 in accordance with the proportionality provisions specified in the constitution; PD candidates ran under the PN list; composition - men 57, women 10, percent of women 14.9% |
| **Marshall Islands** | *description:* unicameral National Parliament or Nitijela (33 seats; members in single- and multi-seat constituencies directly elected by simple majority vote to serve 4-year terms); note - the Council of Iroij, a 12-member group of tribal leaders advises the Presidential Cabinet and reviews legislation affecting customary law or any traditional practice) |
| | *elections:* last held on 16 November 2015 (next to be held by November 2019) |
| | *election results:* percent of vote by party - NA; seats by party - independent 33; composition - men 28, women 5, percent of women 15.2% |
| **Mauritania** | *description:* unicameral Parliament or Barlamane consists of the National Assembly or Al Jamiya Al Wataniya (157 seats; 113 members in single- and multi-seat constituencies directly elected by a combination of plurality and proportional representation voting sytems, 40 members in a single, nationwide constituency directly elected by proportional representation vote, and 4 members directly elected by the diaspora; all members serve 5-year terms) |
| | *elections:* first held as the unicameral National Assembly in September 2018 (next to be held in 2023) |
| | *election results:* National Assembly - percent of vote by party - NA; seats by party - NA |
| | *note:* a referendum held in August 2017 approved a constitutional amendment to change the Parliament structure from bicameral to unicameral by abolishing the Senate and creating Regional Councils for local development |
| **Mauritius** | *description:* unicameral National Assembly or Assemblee Nationale (70 seats maximum; 62 members directly elected multi-seat constituencies by simple majority vote and up to 8 seats allocated to non-elected party candidates by the Office of Electoral Commissioner; members serve a 5-year term) |
| | *elections:* last held on 10 December 2014 following dissolution of the Assembly on 6 October 2014 (next to be held by 2019) |
| | *election results:* percent of vote by party - Alliance Lepep 49.8%, PTR-MMM 38.5%, FSM 2.1%, OPR 1.1%, other 8.5%; elected seats by party - Alliance Lepep 47, PTR-MMM 13, OPR 2; appointed seats Alliance Lepep 4, PTR-MMM 3 |
| **Mexico** | *description:* bicameral National Congress or Congreso de la Union consists of: |
| | Senate or Camara de Senadores (128 seats; 96 members directly elected in multi-seat constituencies by simple majority vote and 32 directly elected in a single, nationwide constituency by proportional representation vote; members serve 6-year terms) |
| | Chamber of Deputies or Camara de Diputados (500 seats; 300 members directly elected in single-seat constituencies by simple majority vote and 200 directly elected in a single, nationwide constituency by proportional representation vote; members serve 3-year terms) |
| | *elections:* |
| | Senate - last held on 1 July 2018 (next to be held on 1 July 2024) |
| | Chamber of Deputies - last held on 1 July 2018 (next to be held on 1 July 2021) |
| | *election results:* |
| | Senate - percent of vote by party - percent of vote by party - NA; seats by party - MORENA 58, PAN 22, PRI 14, PRD 9, MC 7, PT 7, PES 5, PVEM 5, PNA/PANAL 1; |
| | Chamber of Deputies - percent of vote by party - NA; seats by party - MORENA 193, PAN 79, PT 61, PES 58, PRI 42, MC 26, PRD 23, PVEM 17, PNA/PANAL 1 |
| | *note:* for the 2018 election, senators will be eligible for a second term and deputies up to 4 consecutive terms |
| **Micronesia, Federated States of** | *description:* unicameral Congress (14 seats; 10 members directly elected in single-seat constituencies by simple majority vote to serve 2-year terms and 4 at- large members directly elected from each of the 4 states by proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 7 March 2017 (next to be held in March 2019) |
| | *election results:* percent of vote - NA; seats - independent 14 |
| **Moldova** | *description:* unicameral Parliament (101 seats; 51 members directly elected in single-seat constituenceis by simple majority vote and 50 members directly elected in a single, nationwide constitutency by closed party-list proportional representation vote; all members serve 4-year terms |
| | *elections:* last held on 30 November 2014 (next scheduled for 24 February 1919) |
| | *election results:* percent of vote by party - PSRM 20.5%, PLDM 20.2%, PCRM 17.5%, PDM 15.8%, PL 9.7%, other 16.3%; seats by party - PSRM 25, PLDM 23, PCRM 21, PDM 19, PL 13; composition - men 83, women 18, percent of women 17.8% |
| **Monaco** | *description:* unicameral National Council or Conseil National (24 seats; 16 members directly elected in multi-seat constituencies by simple majority vote and 8 directly elected by proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 11 February 2018 (next to be held in February 2023) |
| | *election results:* percent of vote by party - Priorite Monaco 57.7%, Horizon Monaco 26.1%, Union Monegasque 16.2%; seats by party - Priorite Monaco 21, Horizon Monaco 2, Union Monegasque 1; composition - men 16, women 8, percent of women 33.3% |
| **Mongolia** | *description:* unicameral State Great Hural or Ulsyn Ikh Khural (76 seats; members directly elected in single-seat constituencies by simple majority vote; each constituency requires at least 50% voter participation for the poll to be valid; members serve 4-year terms) |
| | *elections:* last held on 29 June 2016 (next to be held in June 2020) |
| | *election results:* percent of vote by party - MPP 45.1%, DP 33.1%, MPRP 8.0%, independent 4.8%, other 9.0%; seats by party - MPP 65, DP 9, MPRP 1, independent 1; composition - men 63, women 13, percent of women 17.1% |
| **Montenegro** | *description:* unicameral Assembly or Skupstina (81 seats; members directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 16 October 2016 (next to be held by October 2020) |
| | *election results:* percent of vote by party/coalition - DPS 41.4%, DF 20.3%, Key Coalition, 11.1%, DCG 10.0%, SDP 5.2%, SD 3.3%, BS, 3.2%, Albanians Decisively 1.3%, HGI .5%, other 3.7%; seats by party/coalition - DPS 36, DF 18, Key Coalition 9, DCG 8, SDP 4, SD 2, BS 2, Albanians Decisively 1, HGI 1; composition - men 62, women 19, percent of women 23.5% |
| **Montserrat** | *description:* unicameral Legislative Assembly (11 seats; 9 members directly elected in a single constituency by absolute majority vote in 2 rounds to serve 5-year terms and 2 ex-officio members - the attorney general and financial secretary) |
| | *elections:* last held on 11 September 2014 (next to be held by 2019) |
| | *election results:* percent of vote by party - PDM 50.0%, MCAP 35.4%, other 14.6%; seats by party - PDM 7, MCAP 2 |
| **Morocco** | *description:* bicameral Parliament consists of: |
| | Chamber of Advisors (120 seats; members indirectly elected by an electoral college of local councils, professional organizations, and labor unions; members serve 6-year terms) |
| | Chamber of Representatives (395 seats; 305 members directly elected in multi-seat constituencies by proportional representation vote and 90 directly elected in a single nationwide constituency by proportional representation vote; members serve 5-year terms); note - in the national constituency, 60 seats are reserved for women and 30 reserved for those under age 40 |
| | *elections:* |
| | Chamber of Advisors - last held on 2 October 2015 (next to be held in fall 2021) |
| | Chamber of Representatives - last held on 7 October 2016 (next to be held in fall 2021) |
| | *election results:* |
| | Chamber of Advisors - percent of vote by party - NA; seats by party - NA; composition - men 106, women 14, percent of women 11.7% |
| | Chamber of Representatives - percent of vote by party NA; seats by party - PJD 125, PAM 102, PI 46, RNI 37, MP 27, USFP 20, UC 19, PPS 12, MDS 3, other 4; composition - men 314, women 81, percent of women 20.5%; note - total Parliament percent of women 18.4% |
| **Mozambique** | *description:* unicameral Assembly of the Republic or Assembleia da Republica (250 seats; members elected in single- and multi-seat constituencies by party-list proportional representation vote and 2 members representing Mozambicans abroad appointed by the elected party; members serve 5-year terms) |
| | *elections:* last held on 15 October 2014 (next to be held in October 2019) |
| | *election results:* percent of vote by party - FRELIMO 55.9%, RENAMO 32.5%, MDM 8.4%, other 3.2%; seats by party - FRELIMO 144, RENAMO 89, MDM 17 |
| **Namibia** | *description:* bicameral Parliament consists of: |
| | National Council (42 seats); members indirectly elected 3 each by the 14 regional councils to serve 5-year terms); note - the Council primarily reviews legislation passed and referred by the National Assembly |
| | National Assembly (104 seats; 96 members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms and 8 nonvoting members appointed by the president) |
| | *elections:* |
| | National Council - elections for regional councils to determine members of the National Council held on 27 November 2015 (next to be held in November 2020) |
| | National Assembly - last held on 28 November 2014 (next to be held in November 2019) |
| | *election results:* |
| | National Council - percent of vote by party - NA; seats by party - SWAPO 40, NUDO 1, DTA 1 |
| | National Assembly - percent of vote by party - SWAPO 80.0%, DTA 4.8%, RDP 3.5%, APP 2.3%, UDF 2.1%, NUDO 2.0%, CPN 1.5%, other 3.8%; seats by party - SWAPO 77, DTA 5, RDP 3, APP 2, UDF 2, NUDO 2, CPN 2, SWANU 1, UPM 1, RP 1 |
| **Nauru** | *description:* unicameral parliament (19 seats; members directly elected in multi-seat constituencies by majority vote using the "Dowdall" counting system by which voters rank candidates on their ballots; members serve 3-year terms) |
| | *elections:* last held on 9 July 2016 (next to be held in 2019) |
| | *election results:* percent of vote - NA; seats - independent 19; composition - men 17, women 2, percent of women 10.5% |
| **Nepal** | *description:* bicameral Federal Parliament consists of: |
| | National Assembly (59 seats; 56 members, including at least 3 women, 1 Dalit, 1 member with disabilities, or 1 minority indirectly elected by an electoral college of state and municipal government leaders, and 3 members, including 1 woman, nominated by the president of Nepal on the recommendation of the government; members serve 6-year terms with renewal of one-third of the membership every 2 years) |
| | House of Representatives (275 seats; 165 members directly elected in single-seat constituencies by simple majority vote and 110 members directly elected in a single nationwide constituency by party-list proportional representation vote; members serve 5-year terms) |
| | *elections:* |
| | first election for the National Assembly held on 7 February 2018 (next to be held in 2024) |
| | first election for House of Representatives held on 26 November and 7 December 2017 (next to be held in 2022) |
| | *election results:* |
| | National Assembly - percent of vote by party - NA; seats by party - CPN-ML 27, CPN-MC 13, NC 12, FSFN 2, RJPN 2; composition - men 37, women 22, percent of women 37.3% |
| | House of Representatives - percent of vote by party - NA; seats by party - CPN-UML 121, NC 63, CPN-MC 53, RJPN 17, FSFN 16, other 4, independent 1; composition - men 185, women 90, percent of women 32.7%; note - total Federal Parliament percent of women 33.5% |
| **Netherlands** | *description:* bicameral States General or Staten Generaal consists of: |
| | First Chamber or Eerste Kamer (75 seats; members indirectly elected by the country's 12 provincial council members by proportional representation vote; members serve 4-year terms) |
| | Second Chamber or Tweede Kamer (150 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve up to 4-year terms) |
| | *elections:* |
| | First Chamber - last held on 26 May 2015 (next to be held in May 2019) |
| | Second Chamber - last held on 15 March 2017 (next to be held 15 March 2021) |
| | *election results:* |
| | First Chamber - percent of vote by party - NA; seats by party - VVD 13, CDA 12, D66 10, PVV 9, SP 9, PvdA 8, GL 4, CU 3, other 7; composition - men 49, women 26, percent of women 34.7% |
| | Second Chamber - percent of vote by party - VVD 21.3%, PVV 13.1%, CDA 12.4%, D66 12.2%, GL 9.1%, SP 9.1%, PvdA 5.7%, CU 3.4%, PvdD 3.2%, 50 Plus 3.1%, other 7.4%; seats by party - VVD 33, PVV 20, CDA 19, D66 19, GL 14, SP 14, PvdA 9, CU 5, PvdD 5, 50 Plus 4, other 8; composition - men 96, women 54, percent of women 36%; note - total States General percent of women 35.6% |
| **New Caledonia** | *description:* unicameral Territorial Congress or Congres du Territoire (54 seats; members indirectly selected proportionally by the partisan makeup of the 3 Provincial Assemblies or Assemblees Provinciales; members of the 3 Provincial Assemblies directly elected by proportional representation vote; members serve 5-year terms); note - the Customary Senate is the assembly of the various traditional councils of the Kanaks, the indigenous population, which rules on laws affecting the indigenous population |
| | New Caledonia indirectly elects 2 members to the French Senate by an electoral colleges for a 6-year term with one seat renewed every 3 years and directly elects 2 members to the French National Assembly by absolute majority vote in 2 rounds if needed for a 5-year term |
| | *elections:* |
| | Territorial Congress - last held on 11 May 2014 (next to be held in May 2019); note - the government that was elected on 11 May 2014 collapsed within 6 months leading to a new election on 31 December 2014, which reelected the same government |
| | French Senate - election last held on 28 September 2014 (next to be held not later than 2019) |
| | French National Assembly - election last held on 11 and 18 June 2017 (next to be held by June 2022) |
| | *election results:* |
| | Territorial Congress - percent of vote by party - N/A; seats by party - seats by party - CE 13, FLNKS 9, UMP 7, Union for Caledonia in France 6, Build Our Rainbow Nation 6, UNI 6, other 7; composition - men 30, women 24, percent of women 44.4% |
| | French Senate - percent of vote by party - NA; seats by party - UMP 2 |
| | French National Assembly - percent of vote by party - NA; seats by party - CE 2 |
| **New Zealand** | *description:* unicameral House of Representatives - commonly called Parliament (usually 120 seats; 71 members directly elected in single-seat constituencies, including 7 Maori constituencies, by simple majority vote and 49 directly elected by proportional representation vote; members serve 3-year terms) |
| | *elections:* last held on 23 September 2017 (next to be held by November 2020) |
| | *election results:* percent of vote by party - National Party 44.5%, Labor Party 36.9%, NZ First 7.2%, Green Party 6.3%, ACT Party 0.5%; seats by party - National Party 56, Labor Party 46, NZ First 9, Green Party 8, ACT Party 1; composition - men 74, women 46, percent of women 38.3% |
| **Nicaragua** | *description:* unicameral National Assembly or Asamblea Nacional (92 seats; 70 members in multi-seat constituencies and 20 members in a single nationwide constituency directly elected by proportional representation vote; 2 seats reserved for the previous president and the runner-up candidate in the previous presidential election; members serve 5-year terms) |
| | *elections:* last held on 6 November 2016 (next to be held by November 2021) |
| | *election results:* percent of vote by party - NA; seats by party - FSLN 70, PLC 13, ALN 2, PLI 2, APRE 1, PC 1, YATAMA 1 |
| **Niger** | *description:* unicameral National Assembly or Assemblee Nationale (171 seats; 158 members directly elected from 8 multi-member constituencies in 7 regions and Niamey by party-list proportional representation, 8 reserved for minorities elected in special single-seat constituencies by simple majority vote, 5 seats reserved for Nigeriens living abroad - l seat per continent - elected in single-seat constituencies by simple majority vote; members serve 5-year terms); note - the number of National Assembly seats increased from 113 to 171 in the February 2016 legislative election |
| | *elections:* last held on 21 February 2016 (next to be held in 2021) |
