CIA - The World Factbook 2002 -- Field Listing - Environment - international agreements

| Country | Environment - international agreements |
| **Vanuatu** | *party to:* Antarctic-Marine Living Resources, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Venezuela** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Marine Dumping |
| **Vietnam** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Nuclear Test Ban |
| **Western Sahara** | *party to:* none of the selected agreements |
| | *signed, but not ratified:* none of the selected agreements |
| **Yemen** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* Nuclear Test Ban |
| **Zambia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Zimbabwe** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |

This page was last updated on 19 March 2003
 
